2018-09-01 13:36:08,061 [Worker-34] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cc.yonyou:springMavenDemo:0.0.1-SNAPSHOT @ D:\spring\workspace\springMavenDemo\pom.xml.
2018-09-01 13:36:11,487 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /springMavenDemo/src/main/java
2018-09-01 13:36:11,489 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /springMavenDemo/src/main/resources
2018-09-01 13:36:11,490 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /springMavenDemo/src/test/java
2018-09-01 13:36:11,490 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /springMavenDemo/src/test/resources
2018-09-01 13:36:14,003 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-01 13:36:14,031 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:36:14,033 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-01 13:36:14,049 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:36:42,638 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cc.yonyou:springMavenDemo:0.0.1-SNAPSHOT @ D:\spring\workspace\springMavenDemo\pom.xml.
2018-09-01 13:36:44,704 [Worker-29] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring/5.0.0.RELEASE/spring-5.0.0.RELEASE.pom
2018-09-01 13:36:44,724 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:zip:0.RELEASE-dist:5.0.0.RELEASE is missing, no dependency information available
2018-09-01 13:36:46,478 [Worker-29] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring/5.0.0.RELEASE/spring-5.0.0.RELEASE-0.RELEASE-dist.zip
2018-09-01 13:36:46,989 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-01 13:36:47,005 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:36:47,007 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
